Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair1_L2R1_10-12_binary_KO,2132,2379,486,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_KO,3027,4047,952,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_KO,1845,1349,293,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_KO,2786,3233,765,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_KO,2438,2491,587,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_KO,2692,1783,422,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_KO,4040,3141,943,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_KO,2550,1139,276,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_KO,3355,2761,712,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_KO,3167,2154,565,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_KO,2867,2146,540,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_KO,4562,4023,1327,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_KO,2561,1669,408,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_KO,3747,3082,919,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_KO,3259,2667,738,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_KO,1901,5232,814,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_1-3_binary_KO,2059,5588,810,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_13-15_binary_KO,1570,5570,603,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_4-6_binary_KO,2078,5031,768,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_7-9_binary_KO,2028,5127,794,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_10-12_binary_KO,1417,4651,604,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_KO,1585,5467,702,0,0,0,0,0,4,4,0.138,microns
