Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair1_L2R1_10-12_binary_KO,3526,1261,476,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_KO,2932,1213,428,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_KO,3618,1215,474,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_KO,3358,1128,455,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_KO,3462,1195,447,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_KO,2918,1390,405,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_KO,2363,1506,344,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_KO,2923,1446,435,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_KO,2633,1310,347,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_KO,2839,1408,404,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_KO,2794,1353,385,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_KO,2168,1359,333,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_KO,2941,1422,451,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_KO,2958,1491,444,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_KO,3049,1578,494,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_KO,5042,1964,828,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_1-3_binary_KO,4944,1799,702,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_13-15_binary_KO,4732,1740,717,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_4-6_binary_KO,5320,1854,785,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_7-9_binary_KO,5046,1735,695,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_10-12_binary_KO,5193,2047,947,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_KO,4959,1935,810,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_13-15_binary_KO,4803,1785,834,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_4-6_binary_KO,5113,1927,872,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_7-9_binary_KO,5076,1944,846,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_10-12_binary_KO,4610,2576,854,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_1-3_binary_KO,4869,2709,987,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_13-15_binary_KO,4522,2507,839,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_4-6_binary_KO,4937,2519,896,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_7-9_binary_KO,4990,2564,966,0,0,0,0,0,4,4,0.138,microns
Pair3_L2R1_10-12_binary_KO,3375,1633,524,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_1-3_binary_KO,2654,1453,423,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_13-15_binary_KO,3387,1524,471,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_4-6_binary_KO,2945,1480,436,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_7-9_binary_KO,3102,1467,449,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_10-12_binary_KO,4276,1647,687,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_1-3_binary_KO,4028,1675,647,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_13-15_binary_KO,4288,1571,641,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_4-6_binary_KO,4352,1612,679,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_7-9_binary_KO,4197,1514,591,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_10-12_binary_KO,4004,1719,564,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_1-3_binary_KO,3741,1861,652,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_13-15_binary_KO,4227,1702,609,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_4-6_binary_KO,3761,1792,612,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_7-9_binary_KO,4069,1810,651,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_10-12_binary_WT,3064,2267,525,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_WT,2648,2237,545,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_WT,3472,2374,682,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_WT,2837,2119,546,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_WT,2860,2310,564,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_WT,3296,3632,641,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_WT,3376,3511,684,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_WT,3449,3408,651,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_WT,3426,3508,642,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_WT,3379,3315,605,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_WT,3679,2104,573,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_WT,3120,1989,478,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_WT,3649,2224,605,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_WT,3232,2135,463,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_WT,3505,2172,609,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_WT,4379,2317,715,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_1-3_binary_WT,4102,2526,722,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_13-15_binary_WT,4416,2434,746,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_4-6_binary_WT,4205,2478,747,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_7-9_binary_WT,4220,2359,743,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R2_10-12_binary_WT,4673,2301,814,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_WT,4378,1918,658,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_13-15_binary_WT,4703,2321,842,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_4-6_binary_WT,4595,1902,666,0,0,0,0,0,4,4,0.138,microns
